Unidade Responsável;UASG;Id do item no PCA;Categoria do Item;Identificador da Futura Contratação;Nome da Futura Contratação;Catálogo Utilizado;Classificação do Catálogo;Código da Classificação Superior (Classe/Grupo);Nome da Classificação Superior (Classe/Grupo);Código do PDM do Item;Nome do PDM do Item;Código do Item;Descrição do Item;Unidade de Fornecimento;Quantidade Estimada;Valor Unitário Estimado (R$);Valor Total Estimado (R$);Valor orçamentário estimado para o exercício (R$);Data Desejada
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;462;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;5120;FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ;11571;RÉGUA PEDREIRO;;;-;0,0000;0,0000;150,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;463;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;4720;MANGUEIRAS E TUBULAÇÕES FLEXÍVEIS;615;MANGUEIRA HIDRÁULICA;620744;APLICAÇÃO: LINHAS DE BAIXA PRESSÃO, CARACTERÍSTICAS ADICIONAIS: CONFORME NBR 14831, DIÂMETRO INTERNO: 1 1/2, MATERIAL: BORRACHA SINTÉTICA, PRESSÃO TRABALHO: 11, REFERÊNCIA: SPIRTEX H80002038*, TIPO: REFORÇO DE TECIDO TRANÇADO;RO;4,0000;100,0000;400,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;464;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;5120;FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ;599;COLHER PEDREIRO;483242;CARACTERÍSTICAS ADICIONAIS: HASTE E LÂMINA INTEIRIÇA, MATERIAL: AÇO TEMPERADO E REVENIDO, MATERIAL CABO: MADEIRA NOBRE, TAMANHO: 9;UN;12,0000;32,0000;384,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;465;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;5120;FERRAMENTAS MANUAIS SEM CORTE, NÃO ACIONADAS  POR  FORÇA  MOTRIZ;9390;MARRETA;377603;ACABAMENTO SUPERFICIAL: PINTURA ELETROSTÁTICA, MATERIAL: AÇO CARBONO FORJADO E TEMPERADO, MATERIAL CABO: MADEIRA, PESO: 500, TIPO: OITAVADO;UN;6,0000;65,0000;390,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;466;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;4499;CÁPSULA;452565;APLICAÇÃO: ACONDICIONAMENTO DE AMOSTRAS, CARACTERÍSTICAS ADICIONAIS: COM TAMPA, DIMENSÕES: 200 X 50, MATERIAL: ALUMÍNIO;UN;10,0000;75,0000;750,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;467;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;8135;MATERIAIS A GRANEL PARA ACONDICIONAMENTO E EMBALAGEM;4499;CÁPSULA;452567;APLICAÇÃO: ACONDICIONAMENTO DE AMOSTRAS, CARACTERÍSTICAS ADICIONAIS: COM TAMPA, DIMENSÕES: 120 X 50, MATERIAL: ALUMÍNIO;UN;12,0000;50,0000;600,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;468;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;6675;INSTRUMENTOS DE DESENHO, TOPOGRAFIA E CARTOGRAFIA;11577;REGUA FRANCESA PARA DESENHO;619118;APLICAÇÃO: CURSO DE DESIGN DE MODA E TÊXTIL, COMPRIMENTO: 40, MATERIAL: AÇO INOXIDÁVEL;UN;6,0000;30,0000;180,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;496;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;5963;MÓDULOS ELETRÔNICOS;;;;;-;0,0000;0,0000;5000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;469;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;5210;INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES;968;TRENA;356675;CARACTERÍSTICAS ADICIONAIS: ENROLAMENTO AUTOMÁTICO COM TRAVA, COMPRIMENTO: 100, COR: AMARELA, ESPESSURA: 1, LARGURA LÂMINA: 25, MATERIAL: FIBRA VIDRO, TIPO: COMUM;UN;3,0000;220,0000;660,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;470;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;5210;INSTRUMENTOS DE MEDIÇÃO PARA ARTÍFICES;968;TRENA;393216;CARACTERÍSTICAS ADICIONAIS: ENROLAMENTO AUTOMÁTICO COM TRAVA, COMPRIMENTO: 5, LARGURA LÂMINA: 19, MATERIAL: AÇO, REVESTIMENTO: BORRACHA;UN;6,0000;30,0000;180,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;471;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;8020;PINCEL PARA ARTISTAS E PINTORES;1573;TRINCHA;467560;MATERIAL CABO: PLÁSTICO, MATERIAL CERDAS: SINTÉTICA, TAMANHO: 4;UN;6,0000;22,0000;132,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;472;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;8020;PINCEL PARA ARTISTAS E PINTORES;1573;TRINCHA;467559;MATERIAL CABO: PLÁSTICO, MATERIAL CERDAS: SINTÉTICA, TAMANHO: 2;UN;6,0000;18,0000;108,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;473;Material;158457-4/2025;Relação de Materiais e Equipamentos para Laboratórios do Curso de Edificações do IFMA Timon.;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;9501;MATERIAL LABORATÓRIO;;;-;0,0000;0,0000;3200,0000;0,0000;23/06/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;474;Material;158457-3/2025;Materiais de consumo para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;9409;MÁSCARA SOLDADOR;396951;CARACTERÍSTICAS ADICIONAIS: VISOR ARTICULADO AJUSTÁVEL POR CATRACA, MATERIAL: CELERON;UN;20,0000;100,0000;2000,0000;0,0000;21/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;475;Material;158457-3/2025;Materiais de consumo para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;3439;SUPRIMENTOS E ACESSÓRIOS PARA SOLDAS DIVERSAS, FRACAS E  FORTES;1157;ELETRODO SOLDA;431110;DIÂMETRO: 2,50, MATERIAL INDICADO: AÇO BAIXO E MÉDIO TEOR CARBONO, NORMAS TÉCNICAS: AWS A5.1/81, CLASSE E-6013;CX;1,0000;1000,0000;1000,0000;0,0000;21/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;476;Material;158457-3/2025;Materiais de consumo para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;4240;EQUIPAMENTO PARA SEGURANÇA E SALVAMENTO;1302;AVENTAL DE SOLDADOR;440995;CARACTERÍSTICAS ADICIONAIS: INTEIRIÇO, SEM EMENDAS, COM FIVELAS E TIRAS AJUSTE, COMPRIMENTO: 1,20, LARGURA: 0,70, MATERIAL: RASPA DE COURO;UN;20,0000;200,0000;4000,0000;0,0000;21/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;477;Material;158457-3/2025;Materiais de consumo para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;8974;LUVA PROTEÇÃO;441245;CARACTERÍSTICAS ADICIONAIS: PUNHO ELÁSTICO, MATERIAL: VAQUETA, TAMANHO: ADULTO, TAMANHO CANO: MÉDIO;PAR;40,0000;50,0000;2000,0000;0,0000;21/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;478;Material;158457-3/2025;Materiais de consumo para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;4710;CANOS E TUBOS;13071;TUBO PLÁSTICO;449312;APLICAÇÃO: AR COMPRIMIDO, COMPRIMENTO: 3, COR: AZUL, DIÂMETRO: 25, MATERIAL: PPR;M;100,0000;200,0000;20000,0000;0,0000;21/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;479;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;3416;TORNOS;16272;TORNO HORIZONTAL;;;-;0,0000;0,0000;10000,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;480;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;3432;EQUIPAMENTO PARA SOLDA A RESISTÊNCIA ELÉTRICA;1036;MÁQUINA SOLDA PORTÁTIL;;;-;0,0000;0,0000;900,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;481;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;3417;MÁQUINAS DE FRESAR;1086;FRESADORA UNIVERSAL;;;-;0,0000;0,0000;10000,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;482;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;3419;MÁQUINAS-FERRAMENTA DIVERSAS;9303;MAQUINA INDUSTRIAL DE SERRAR METAL - SERRA DE FITA;;;-;0,0000;0,0000;15000,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;483;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;5130;FERRAMENTAS MANUAIS ACIONADAS POR FORÇA MOTRIZ;7868;FURADEIRA;;;-;0,0000;0,0000;500,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;484;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;5130;FERRAMENTAS MANUAIS ACIONADAS POR FORÇA MOTRIZ;;;;;-;0,0000;0,0000;500,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;485;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;5130;FERRAMENTAS MANUAIS ACIONADAS POR FORÇA MOTRIZ;;;;;-;0,0000;0,0000;700,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;486;Material;158457-2/2025;Maquinário para o Laboratório de Mecânica do IFMA Campus Timon.;Catálogo do Compras.gov.br;Material;5110;FERRAMENTAS MANUAIS DE CORTE, NÃO ACIONADAS POR FORÇA MOTRIZ;;;;;-;0,0000;0,0000;700,0000;0,0000;14/04/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;487;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;1550;AERONAVES TELEGUIADAS;;;;;-;0,0000;0,0000;10000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;488;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;;;;;-;0,0000;0,0000;3000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;489;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;7020;IMPRESSORAS;223;IMPRESSORA JATO TINTA;;;-;0,0000;0,0000;4000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;490;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;5965;FONES, MICROFONES E ALTO-FALANTES;;;;;-;0,0000;0,0000;1300,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;491;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;5965;FONES, MICROFONES E ALTO-FALANTES;;;;;-;0,0000;0,0000;700,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;492;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;7060;PEÇAS E ACESSÓRIOS PARA COMPUTADORES;;;;;-;0,0000;0,0000;3200,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;493;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;4110;EQUIPAMENTO PARA REFRIGERAÇÃO;;;;;-;0,0000;0,0000;800,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;499;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;5830;SISTEMAS DE INTERCOMUNICAÇÃO E AMPLIFICAÇÃO DE  VOZ,  EXCETOOS DE AERONAVES;;;;;-;0,0000;0,0000;5000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;500;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;5965;FONES, MICROFONES E ALTO-FALANTES;;;;;-;0,0000;0,0000;1000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;501;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;7125;ARMÁRIOS E ESTANTES;;;;;-;0,0000;0,0000;2500,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;502;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;3610;EQUIPAMENTO PARA IMPRESSÃO, DUPLICAÇÃO E ENCADERNAÇÃO;;;;;-;0,0000;0,0000;3000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;503;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;3550;MÁQUINAS REGISTRADORAS AUTOMÁTICAS E MÁQUINAS ACIONADAS  COMFICHAS;;;;;-;0,0000;0,0000;1000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;504;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;9999;ITENS DIVERSOS;;;;;-;0,0000;0,0000;300,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;505;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;;;;;-;0,0000;0,0000;5000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;506;Material;158457-1/2025;Aquisição de Material de Ensino;Catálogo do Compras.gov.br;Material;8305;TECIDOS;;;;;-;0,0000;0,0000;4000,0000;0,0000;28/02/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;521;Material;158457-28/2025;Aquisição de materiais de edificações;Catálogo do Compras.gov.br;Material;3442;PRENSAS HIDRÁULICAS E PNEUMÁTICAS ACIONADAS POR ENERGIA;;;;;-;0,0000;0,0000;40000,0000;0,0000;26/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;522;Material;158457-28/2025;Aquisição de materiais de edificações;Catálogo do Compras.gov.br;Material;6695;INSTRUMENTOS COMBINADOS DIVERSOS;;;;;-;0,0000;0,0000;150000,0000;0,0000;26/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;523;Material;158457-29/2025;Aquisição de TVs (Televisores Smart);Catálogo do Compras.gov.br;Material;7730;FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO;12609;TELEVISOR;;;-;0,0000;0,0000;25000,0000;0,0000;29/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;524;Material;158457-30/2025;Aquisição de Carteiras Escolares;Catálogo do Compras.gov.br;Material;7110;MOBILIÁRIO PARA ESCRITÓRIO;4661;CARTEIRA ESCOLAR;;;-;0,0000;0,0000;28800,0000;0,0000;26/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;525;Material;158457-32/2025;Aquisição de Painéis Solares;Catálogo do Compras.gov.br;Material;5999;COMPONENTES ELÉTRICOS E ELETRÔNICOS DIVERSOS;6559;ENERGIA SOLAR - PAINEL / CONTROLE ELETRONICO / ME-CANISMO MOVIMENTACAO PAINEL;;;-;0,0000;0,0000;56000,0000;0,0000;30/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;526;Material;158457-31/2025;Aquisição de Mobiliários;Catálogo do Compras.gov.br;Material;7195;MOBILIÁRIOS DIVERSOS E ACESSÓRIOS;9611;MESA;;;-;0,0000;0,0000;16000,0000;0,0000;26/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;527;Material;158457-33/2025;Aquisição de Material do Curso de Energia Renonáveis;Catálogo do Compras.gov.br;Material;6210;APARELHOS DE ILUMINAÇÃO ELÉTRICA DE USO INTERNO E EXTERNO;8579;KIT ELETRÔNICO;455353;COMPONENTES: CLP + IHM + SOFTWARE + CABOS DELTA, REFERÊNCIA: HCD600-EA, TIPO: KIT AUTOMAÇÃO;UN;1,0000;50000,0000;50000,0000;0,0000;30/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;528;Material;158457-33/2025;Aquisição de Material do Curso de Energia Renonáveis;Catálogo do Compras.gov.br;Material;6625;INSTRUMENTO DE TESTE E DE MEDIÇÃO DE PROPRIEDADES ELÉTRICAS E ELETRÔNICAS;3271;BANCADA PROFISSIONAL;631653;ALTURA: 30, APLICAÇÃO: ESTUDO, PROGRAMAÇÃO E SIMULAÇÃO DE SISTEMAS DE AUT, CARACTERÍSTICAS ADICIONAIS: PORTÁTIL. SERIGRAFIA NA BANCADA., COMPONENTES: CONFORME MODELO, COMPRIMENTO: 1100, LARGURA: 700, MATERIAL: PERFIL DE ALUMINIO, TIPO: BANCADA DE ESTUDO PARA AUTOMAÇÃO INDUSTRIAL;UN;1,0000;40000,0000;40000,0000;0,0000;30/12/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;509;Serviço;158457-22/2025;Manutenção dos extintores;Catálogo do Compras.gov.br;Serviço;872;SERVIÇOS DE REPARO DE OUTROS BENS;;;;;-;0,0000;0,0000;2740,0000;0,0000;22/09/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;510;Serviço;158457-20/2025;Seguro dos Veículos;Catálogo do Compras.gov.br;Serviço;713;SERVIÇOS DE SEGUROS E DE PENSÕES(EXCETO SERVIÇO DE RESEGURO)EXCETO SERVIÇOS DE SEGURIDADE SOCIAL COMPULSÓRIA;;;;;-;0,0000;0,0000;8500,0000;0,0000;22/07/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;511;Obras e Serviços de Engenharia;158457-19/2025;CONSTRUÇÃO DE NOVOS BLOCOS;Catálogo do Compras.gov.br;Serviço;541;SERVIÇOS GERAIS DE CONSTRUÇÃO DOS EDIFÍCIOS;;;;;-;0,0000;0,0000;600000,0000;0,0000;20/11/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;512;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6850;ESPECIALIDADES QUÍMICAS DIVERSAS;12254;SOLUÇÃO TAMPÃO;234416;APLICAÇÃO: CALIBRAGEM DE PEAGÂMETRO, LEITURA: PH 4,0;FR;1,0000;17,1500;17,1500;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;513;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6850;ESPECIALIDADES QUÍMICAS DIVERSAS;12254;SOLUÇÃO TAMPÃO;234417;APLICAÇÃO: CALIBRAGEM DE PEAGÂMETRO, LEITURA: PH 7,0;FR;1,0000;25,2700;25,2700;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;514;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;6991;FRASCO LABORATÓRIO;444151;ACESSÓRIOS: COM TIOSSULFATO DE SÓDIO, CAPACIDADE: CERCA DE 100, ESTERILIDADE: ESTÉRIL, MATERIAL: PLÁSTICO, TIPO: PARA AMOSTRA, TIPO TAMPA: C/ SISTEMA DE FECHO;UN;50,0000;3,0300;151,5000;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;515;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6550;SUBSTÂNCIAS PARA DIAGNÓSTICO "IN VITRO",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE;12247;REAGENTE ANALÍTICO 3;433660;ADICIONAL: EM AMOSTRAS DE ALIMENTOS, APRESENTAÇÃO: TESTE, CARACTERÍSTICA ADICIONAL: FLUORIMETRIA, TIPO: CONJUNTO COMPLETO, TIPO DE ANÁLISE: QUALITATIVO ESCHERICHIA COLI;UN;20,0000;25,2200;504,4000;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;516;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6550;SUBSTÂNCIAS PARA DIAGNÓSTICO "IN VITRO",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE;12240;SOLUÇÃO PADRÃO;;;-;0,0000;0,0000;92,0600;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;517;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6550;SUBSTÂNCIAS PARA DIAGNÓSTICO "IN VITRO",  REAGENTES,  CONJUNTOS E JOGOS PARA TESTE;11424;REAGENTE ANALÍTICO 2;629227;APLICAÇÃO: QUANTITATIVO DE CLORO LIVRE E TOTAL EM ÁGUA, APRESENTAÇÃO: LÍQUIDO, CARACTERÍSTICAS ADICIONAIS: REAGENTE CL2-2, CONCENTRAÇÃO: FAIXA DE ANÁLISE CERCA DE 0,01 A 6,00 MG/L, REAGENTE: CONJUNTO DE REAGENTES;TESTE;100,0000;3,0500;305,0000;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;518;Material;158457-23/2025;Aquisição do material de Química;Catálogo do Compras.gov.br;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;10848;PLACA LABORATÓRIO;413647;ADICIONAL: COM SILICA GEL, DIMENSÕES: CERCA DE 20 X 20, MATERIAL: ALUMÍNIO, TIPO: P/ CROMATOGRAFIA CAMADA DELGADA;UN;20,0000;38,8400;776,8000;0,0000;06/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;519;Serviço;158457-26/2025;Serviço de Elaboração de Projetos Estruturais;Catálogo do Compras.gov.br;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;18430;OBRAS CIVIS - CÁLCULO ESTRUTURAL;-;1,0000;9000,0000;9000,0000;0,0000;24/10/2025
INST.FED.DO MARANHAO/CAMPUS TIMON;158457;520;Serviço;158457-26/2025;Serviço de Elaboração de Projetos Estruturais;Catálogo do Compras.gov.br;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;18430;OBRAS CIVIS - CÁLCULO ESTRUTURAL;-;1,0000;1507,5000;1507,5000;0,0000;24/10/2025
INST.FED.DO MARANHAO/CAMPUS BURITICUPU;158283;1;Material;158283-1/2025;Aquisição de Computadores e Monitores;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;10293;SERVIDOR;;;-;0,0000;0,0000;30000,0000;0,0000;25/08/2025
INST.FED.DO MARANHAO/CAMPUS BURITICUPU;158283;2;Material;158283-1/2025;Aquisição de Computadores e Monitores;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;8435;NOTEBOOK;470861;ALIMENTAÇÃO: BIVOLT AUTOMÁTICA, ARMAZENAMENTO HDD: SEM DISCO HDD, ARMAZENAMENTO SSD: 310 A 500, BATERIA: PELO MENOS 40 WH, GARANTIA ON SITE: 36, INTERATIVIDADE DA TELA: SENSÍVEL AO TOQUE, MEMÓRIA RAM: 4 A 8, NÚCLEOS POR PROCESSADOR: 4 A 8, SISTEMA OPERACIONAL: PROPRIETÁRIO, TELA: ATÉ 14;UN;10,0000;3750,0000;37500,0000;0,0000;25/08/2025
INST.FED.DO MARANHAO/CAMPUS BURITICUPU;158283;3;Material;158283-1/2025;Aquisição de Computadores e Monitores;Catálogo do Compras.gov.br;Material;7010;COMPUTADORES;6661;MICROCOMPUTADOR;478928;ARMAZENAMENTO HDD: SEM DISCO HDD, ARMAZENAMENTO SSD: 310 A 500, COMPONENTES ADICIONAIS: COM TECLADO E MOUSE, GABINETE: COMPACTO, GARANTIA ON SITE: 36, MEMÓRIA RAM: SUPERIOR A 8, MONITOR: SEM MONITOR, NÚCLEOS POR PROCESSADOR: 4 A 8, SISTEMA OPERACIONAL: PROPRIETÁRIO;UN;50,0000;4500,0000;225000,0000;0,0000;25/08/2025
INST.FED.DO MARANHAO/CAMPUS BURITICUPU;158283;4;Material;158283-9/2025;PNAE 2025;Catálogo do Compras.gov.br;Material;8915;FRUTAS, VERDURAS E LEGUMES;19789;FRUTA;464396;APRESENTAÇÃO: NATURAL, TIPO: LARANJA SELETA;KG;450,0000;8,4000;3780,0000;0,0000;10/11/2025
INST.FED.DO MARANHAO/CAMPUS BURITICUPU;158283;5;Material;158283-9/2025;PNAE 2025;Catálogo do Compras.gov.br;Material;8915;FRUTAS, VERDURAS E LEGUMES;19789;FRUTA;464381;APRESENTAÇÃO: NATURAL, TIPO: BANANA PRATA / BANANA BRANCA;KG;450,0000;12,0000;5400,0000;0,0000;10/11/2025
INST.FED.DO MARANHAO/CAMPUS BURITICUPU;158283;6;Material;158283-9/2025;PNAE 2025;Catálogo do Compras.gov.br;Material;8915;FRUTAS, VERDURAS E LEGUMES;19789;FRUTA;464418;APRESENTAÇÃO: NATURAL, TIPO: MELANCIA VERMELHA;KG;450,0000;4,5000;2025,0000;0,0000;10/11/2025
